Day,Market Name,Order Count,Revenue
2018-10-22T00:00:00.000-04:00,Orlando FL,1,900
2018-10-24T00:00:00.000-04:00,Orlando FL,2,1468
2018-10-27T00:00:00.000-04:00,Orlando FL,3,985.75
2018-10-28T00:00:00.000-04:00,Orlando FL,4,2268.75
2018-10-29T00:00:00.000-04:00,Orlando FL,5,2680
2018-10-31T00:00:00.000-04:00,Orlando FL,2,800
2018-11-01T00:00:00.000-04:00,Orlando FL,3,1922.25
2018-11-03T00:00:00.000-04:00,Orlando FL,3,1007.5
2018-11-04T00:00:00.000-04:00,Orlando FL,1,611.5
2018-11-06T00:00:00.000-05:00,Orlando FL,1,800
2018-11-07T00:00:00.000-05:00,Orlando FL,2,939
2018-11-08T00:00:00.000-05:00,Orlando FL,3,1162.75
2018-11-09T00:00:00.000-05:00,Orlando FL,2,576
2018-11-10T00:00:00.000-05:00,Orlando FL,4,1835.5
2018-11-13T00:00:00.000-05:00,Orlando FL,1,492.25
2018-11-14T00:00:00.000-05:00,Orlando FL,1,2273
2018-11-15T00:00:00.000-05:00,Orlando FL,1,800
2018-11-16T00:00:00.000-05:00,Orlando FL,1,800
2018-11-17T00:00:00.000-05:00,Orlando FL,3,2392.5
2018-11-18T00:00:00.000-05:00,Orlando FL,2,1600
2018-11-19T00:00:00.000-05:00,Orlando FL,2,550.5
2018-11-21T00:00:00.000-05:00,Orlando FL,2,1456.75
2018-11-24T00:00:00.000-05:00,Orlando FL,1,436
2018-11-26T00:00:00.000-05:00,Orlando FL,3,1183.5
2018-11-27T00:00:00.000-05:00,Orlando FL,2,998
2018-11-29T00:00:00.000-05:00,Orlando FL,4,1171.75
2018-11-30T00:00:00.000-05:00,Orlando FL,4,2519.25
2018-12-01T00:00:00.000-05:00,Orlando FL,3,1339
2018-12-02T00:00:00.000-05:00,Orlando FL,1,800
2018-12-06T00:00:00.000-05:00,Orlando FL,1,800
2018-12-07T00:00:00.000-05:00,Orlando FL,2,930
2018-12-09T00:00:00.000-05:00,Orlando FL,1,411.75
2018-12-11T00:00:00.000-05:00,Orlando FL,1,516.75
2018-12-12T00:00:00.000-05:00,Orlando FL,1,556
2018-12-13T00:00:00.000-05:00,Orlando FL,1,800
2018-12-14T00:00:00.000-05:00,Orlando FL,2,682.75
2018-12-15T00:00:00.000-05:00,Orlando FL,2,1613.25
2018-12-16T00:00:00.000-05:00,Orlando FL,3,2902.75
2018-12-17T00:00:00.000-05:00,Orlando FL,3,811.5
2018-12-20T00:00:00.000-05:00,Orlando FL,1,1150
2018-12-21T00:00:00.000-05:00,Orlando FL,3,1434
2018-12-22T00:00:00.000-05:00,Orlando FL,2,978.25
2018-12-26T00:00:00.000-05:00,Orlando FL,1,800
2018-12-27T00:00:00.000-05:00,Orlando FL,4,2203.75
2018-12-28T00:00:00.000-05:00,Orlando FL,3,1569
2018-12-29T00:00:00.000-05:00,Orlando FL,2,1448
2018-12-30T00:00:00.000-05:00,Orlando FL,5,1661.75
2019-01-04T00:00:00.000-05:00,Orlando FL,3,555.25
2019-01-06T00:00:00.000-05:00,Orlando FL,1,437
2019-01-07T00:00:00.000-05:00,Orlando FL,1,800
2019-01-09T00:00:00.000-05:00,Orlando FL,1,800
2019-01-11T00:00:00.000-05:00,Orlando FL,3,619.25
2019-01-12T00:00:00.000-05:00,Orlando FL,4,1563
2019-01-13T00:00:00.000-05:00,Orlando FL,1,750.75
2019-01-14T00:00:00.000-05:00,Orlando FL,1,1150
2019-01-15T00:00:00.000-05:00,Orlando FL,2,889
2019-01-17T00:00:00.000-05:00,Orlando FL,2,1600
2019-01-18T00:00:00.000-05:00,Orlando FL,1,494.75
2019-01-19T00:00:00.000-05:00,Orlando FL,3,1511.75
